"","zipcode","total_support"
"287","01238",70224.94
"288","01240",38242.81
"289","01242",3279.96
"290","01243",390
"291","01244",840
"292","01245",1810
"293","01247",648764.02
"294","01253",10510
"295","01254",4380.79
"296","01255",5229.95
"297","01256",2619.27
"298","01257",19676.36
"299","01258",1010
"300","01259",3500
"301","01260",1903.94
"302","01262",22081.1
"303","01264",490
"304","01266",6704.97
"305","01267",61845.54
"306","01270",8330
"307","01301",404443.56
"308","01302",590
"309","01330",21799.98
"310","01331",419335.98
"311","01337",20087.53
"312","01338",2479.45
"313","01339",18714.93
"314","01340",25704
"315","01341",7188.83
"316","01342",5029.53
"317","01344",14608.14
"318","01346",9471.5
"319","01347",3339.85
"320","01349",12108.71
"321","01350",630
"322","01351",13079.3
"323","01354",11377.62
"324","01355",14799.99
"325","01360",18012.57
"326","01364",292572.89
"327","01366",2607.13
"328","01367",7959.99
"329","01368",5669.99
"330","01370",40219.57
"331","01373",21644.65
"332","01375",25009.01
"333","01376",113679.96
"334","01378",2410
"335","01379",22209.99
"336","01380",160
"337","01420",804352.42
"338","01430",33724.12
"339","01431",12202.47
"340","01432",54978.29
"341","01434",7463.36
"342","01436",27374.82
"343","01438",1030
"344","01440",329406.41
"345","01450",29681.7
"346","01451",19146.41
"347","01452",31179.4
"348","01453",455927.27
"349","01460",33442.63
"350","01462",71334.77
"351","01463",106664.18
"352","01464",41638.81
"353","01468",20456.34
"354","01469",37340.38
"355","01472",90
"356","01473",32447.42
"357","01474",8099.13
"358","01475",136166.54
"359","01501",187130.05
"360","01503",27852
"361","01504",67108.03
"362","01505",22441.43
"363","01506",60142.2
"364","01507",111881.9
"365","01508",780
"366","01510",139509.45
"367","01515",22494.58
"368","01516",59678.89
"369","01518",50684.86
"370","01519",28078.61
"371","01520",88807.48
"372","01521",26722.34
"373","01522",15613.63
"374","01523",28467.54
"375","01524",87507.53
"376","01525",1060
"377","01526",560
"378","01527",147851.03
"379","01529",27610.61
"380","01531",3259.98
"381","01532",50705.4
"382","01534",76267.68
"383","01535",87505.89
"384","01536",35991.22
"385","01537",32816.44
"386","01538",1479.98
"387","01540",182235.62
"388","01541",11709.88
"389","01542",28271.49
"390","01543",63233.36
"391","01545",80784.18
"392","01550",871007.3
"393","01560",36002.98
"394","01561",180
"395","01562",256389.14
"396","01564",24214.21
"397","01566",45212.41
"398","01568",45574.95
"399","01569",121208.53
"400","01570",642195.25
"401","01571",179315.95
"402","01581",88286.53
"403","01583",60247.16
"404","01585",53484.66
"405","01588",164184.79
"406","01590",33971.32
"407","01601",100
"408","01602",593647.69
"409","01603",960075.5
"410","01604",1409911.14
"411","01605",1709595.52
"412","01606",422205.05
"413","01607",433478.92
"414","01608",381121.7
"415","01609",856779.39
"416","01610",1817553.4
"417","01611",37244.64
"418","01612",26702.54
"419","01613",1520
"420","01655",279.99
"421","01701",113765.12
"422","01702",346654.05
"423","01718",1141.48
"424","01719",17648.95
"425","01720",76984.45
"426","01721",67127.73
"427","01730",43644.16
"428","01731",329.95
"429","01740",12165
"430","01741",10264.15
"431","01742",36196.42
"432","01745",710
"433","01746",32363.04
"434","01747",19388.05
"435","01748",35442.29
"436","01749",93199.12
"437","01752",255608.38
"438","01754",49156.9
"439","01756",14810.83
"440","01757",125373.06
"441","01760",125978.88
"442","01770",3709.85
"443","01772",23733.84
"444","01773",15634.61
"445","01775",18059.38
"446","01776",43535.53
"447","01778",24242.43
"448","01784",90
"449","01801",234506.99
"450","01803",94441.48
"451","01805",130
"452","01810",135919.07
"453","01821",106927.48
"454","01824",90687.42
"455","01826",218849.69
"456","01827",6442.46
"457","01830",431267.31
"458","01831",390
"459","01832",422600.81
"460","01833",25349.97
"461","01834",21004.22
"462","01835",127386.94
"463","01840",398435.62
"464","01841",1818380.38
"465","01842",1650
"466","01843",964776.22
"467","01844",645255.28
"468","01845",155209.58
"469","01850",332273.13
"470","01851",558065.53
"471","01852",757467.33
"472","01853",580
"473","01854",608685.33
"474","01860",29234.26
"475","01862",48364.21
"476","01863",51988.81
"477","01864",35378.58
"478","01865",133
"479","01867",62221.36
"480","01876",120812.7
"481","01879",65061.63
"482","01880",90489.19
"483","01886",60687.55
"484","01887",55811.72
"485","01888",0
"486","01890",46520.05
"487","01901",135614.3
"488","01902",1077113.96
"489","01903",1429.8
"490","01904",154086.53
"491","01905",373089.03
"492","01906",220832.36
"493","01907",53626.66
"494","01908",13890.98
"495","01913",144311.83
"496","01915",329565.25
"497","01921",6283.36
"498","01922",6657.47
"499","01923",152508.93
"500","01929",7746.32
"501","01930",278009.63
"502","01938",56968.18
"503","01940",26819.77
"504","01944",15911.29
"505","01945",59568.88
"506","01949",15045.34
"507","01950",78152.01
"508","01951",7807.1
"509","01952",88861.03
"510","01960",415141.73
"511","01961",60
"512","01966",31916.24
"513","01969",20364.02
"514","01970",550058.98
"515","01982",17193.57
"516","01983",9007.67
"517","01984",9163.89
"518","01985",8290.04
"519","02018",250
"520","02019",85069.02
"521","02020",1549.99
"522","02021",127136.27
"523","02025",16893.43
"524","02026",141101.33
"525","02027",130
"526","02030",3726.02
"527","02032",12717.12
"528","02035",91157.08
"529","02038",127496.47
"530","02043",43370.24
"531","02045",67853.42
"532","02047",89.9
"533","02048",109174.94
"534","02050",104560.78
"535","02052",25219.64
"536","02053",36562.82
"537","02054",28762.27
"538","02056",19130.31
"539","02059",250
"540","02061",17776.88
"541","02062",184787.45
"542","02066",46222.04
"543","02067",78072
"544","02071",2259.89
"545","02072",297843.06
"546","02081",60500.34
"547","02090",43401.25
"548","02093",40806.5
"549","02108",27140.16
"550","02109",18031.64
"551","02110",9762.97
"552","02111",171811.53
"553","02112",220
"554","02113",26841.55
"555","02114",123969.11
"556","02115",311138.57
"557","02116",250076.41
"558","02117",60
"559","02118",785393.9
"560","02119",1103995.59
"561","02120",308632.91
"562","02121",1153165.93
"563","02122",584538.96
"564","02123",519.99
"565","02124",1533748.64
"566","02125",845304.19
"567","02126",893455.3
"568","02127",429989.04
"569","02128",513950.39
"570","02129",244259.49
"571","02130",486411.11
"572","02131",459378.12
"573","02132",158472.58
"574","02134",165371.04
"575","02135",413602.05
"576","02136",766030.96
"577","02138",130461.25
"578","02139",435404.86
"579","02140",283028.58
"580","02141",133230.97
"581","02142",21141.21
"582","02143",129076.98
"583","02144",140675.8
"584","02145",203903.97
"585","02148",685769.8
"586","02149",487027.39
"587","02150",634660.68
"588","02151",798416.94
"589","02152",157593.18
"590","02155",309817.26
"591","02169",799529.44
"592","02170",184409.9
"593","02171",167307
"594","02176",126606.72
"595","02180",111192.8
"596","02184",254772.48
"597","02185",180
"598","02186",112307.34
"599","02188",172641.08
"600","02189",168781.66
"601","02190",112229
"602","02191",56370.07
"603","02196",430
"604","02199",2496.79
"605","02205",1410
"606","02210",20484.57
"607","02212",419.8
"608","02215",137516.43
"609","02238",230
"610","02269",660
"611","02301",2299291.86
"612","02302",885307.89
"613","02303",223
"614","02322",52205.24
"615","02324",141369.44
"616","02327",460
"617","02330",65446.81
"618","02331",60
"619","02332",35357.71
"620","02333",77928.27
"621","02334",378
"622","02338",34081.94
"623","02339",39450.47
"624","02341",41343.65
"625","02343",123640.2
"626","02345",480
"627","02346",161797.15
"628","02347",58156.4
"629","02350",400
"630","02351",101900.41
"631","02355",150
"632","02356",48024.72
"633","02358",150
"634","02359",69009.35
"635","02360",338879.2
"636","02364",51844.96
"637","02367",13299.83
"638","02368",577471.21
"639","02370",144204
"640","02375",54478.24
"641","02379",46973.65
"642","02381",270
"643","02382",107018.72
"644","02420",39107.92
"645","02421",61196.38
"646","02445",93176.23
"647","02446",170085.55
"648","02451",81871.89
"649","02452",73251.43
"650","02453",164210.76
"651","02458",46615.13
"652","02459",42644.51
"653","02460",30293.91
"654","02461",20716.24
"655","02462",8986.34
"656","02464",14413.36
"657","02465",22342.05
"658","02466",34910.76
"659","02467",46960.7
"660","02468",5048.72
"661","02472",176300.3
"662","02474",110002.85
"663","02476",77319.55
"664","02478",76772.1
"665","02481",20603.56
"666","02482",31827.94
"667","02492",43956.54
"668","02493",11314.13
"669","02494",32365.6
"670","02532",105092.15
"671","02534",3459.45
"672","02535",878.9
"673","02536",130661.55
"674","02537",18336.43
"675","02538",76306.88
"676","02539",10179.49
"677","02540",56609.17
"678","02542",120
"679","02543",629.75
"680","02553",3365.15
"681","02554",15748.26
"682","02556",10377.78
"683","02557",9440.61
"684","02558",26925.94
"685","02559",17408
"686","02561",4666.35
"687","02562",9993.68
"688","02563",39284.57
"689","02568",16890.41
"690","02571",133443.25
"691","02574",1296
"692","02575",5318.71
"693","02576",44549.78
"694","02601",215338.01
"695","02630",4470
"696","02631",54906.18
"697","02632",42170.84
"698","02633",19106.57
"699","02635",11521.68
"700","02637",734.45
"701","02638",15033.47
"702","02639",41401.25
"703","02641",1687.1
"704","02642",30808.13
"705","02643",300
"706","02644",14171.15
"707","02645",46963.87
"708","02646",7199.18
"709","02647",280
"710","02648",28070.07
"711","02649",106847.86
"712","02650",2690
"713","02651",630
"714","02652",6129.8
"715","02653",36143.31
"716","02655",7891.63
"717","02657",34178.42
"718","02659",2369.99
"719","02660",52912.94
"720","02661",949.45
"721","02662",490
"722","02663",60
"723","02664",92846.95
"724","02666",5137.98
"725","02667",18768.79
"726","02668",9557.28
"727","02669",919.85
"728","02670",12857.46
"729","02671",5323.34
"730","02672",259.3
"731","02673",73556.92
"732","02675",21184.27
"733","02702",21125.78
"734","02703",424736.02
"735","02715",20638.83
"736","02717",29811.63
"737","02718",50916.36
"738","02719",141830.08
"739","02720",736008.59
"740","02721",864916.13
"741","02722",240
"742","02723",568800.98
"743","02724",631049.4
"744","02725",17203.85
"745","02726",102491.34
"746","02738",23997.17
"747","02739",22653.94
"748","02740",1431847.05
"749","02741",130
"750","02742",30
"751","02743",79292.87
"752","02744",386550.14
"753","02745",431461.75
"754","02746",629438.94
"755","02747",153015.25
"756","02748",92454.16
"757","02760",153146.03
"758","02762",71896.61
"759","02763",5809.53
"760","02764",23802.52
"761","02766",145770.94
"762","02767",92340.33
"763","02769",31014.27
"764","02770",12780.61
"765","02771",65863.78
"766","02777",118814.37
"767","02779",30280.24
"768","02780",824686.67
"769","02790",186417.1
"770","02791",840
"771","02802",6819.98
"772","02804",12798.53
"773","02806",48972.34
"774","02807",350
"775","02808",19663.32
"776","02809",168073.91
"777","02812",520
"778","02813",51039.23
"779","02814",45414.75
"780","02815",935.49
"781","02816",347034.92
"782","02817",23014.93
"783","02818",94573.49
"784","02822",32378.38
"785","02823",180
"786","02824",3068.75
"787","02825",18860.17
"788","02826",4100.23
"789","02827",7828.73
"790","02828",26375.98
"791","02829",610
"792","02830",54267.7
"793","02831",13377.99
"794","02832",32667.06
"795","02833",6619.54
"796","02835",26007.14
"797","02836",600
"798","02837",11440
"799","02838",77683.54
"800","02839",18089.14
"801","02840",358118.55
"802","02841",430
"803","02842",134332.16
"804","02852",207748.11
"805","02857",35663.47
"806","02858",3789.58
"807","02859",69798.96
"808","02860",1672193.63
"809","02861",494583.38
"810","02862",809.99
"811","02863",707867.4
"812","02864",296764.74
"813","02865",143723.83
"814","02871",96258.66
"815","02872",579.99
"816","02873",2266.99
"817","02874",12317.08
"818","02875",5619.58
"819","02876",9971.98
"820","02877",30
"821","02878",164176.95
"822","02879",131490.2
"823","02881",5819.99
"824","02882",74692.08
"825","02883",150
"826","02885",132791.5
"827","02886",371332.14
"828","02888",221277.36
"829","02889",282858.24
"830","02891",206565.22
"831","02892",19472.56
"832","02893",568036.75
"833","02894",5043.98
"834","02895",1526711.35
"835","02896",76967.72
"836","02898",19577.9
"837","02902",220
"838","02903",345071.45
"839","02904",896572.2
"840","02905",704853.67
"841","02906",185965.81
"842","02907",1221787.95
"843","02908",1008734.42
"844","02909",1569861.05
"845","02910",336464.49
"846","02911",249870.64
"847","02912",30
"848","02914",408610.12
"849","02915",236754.76
"850","02916",86936.04
"851","02917",84741.52
"852","02918",130
"853","02919",420833.7
"854","02920",544178.43
"855","02921",52545.03
"856","02940",759.98
"857","03031",18083.7
"858","03032",7949.63
"859","03033",12468.78
"860","03034",8989.49
"861","03036",7718.49
"862","03037",10832
"863","03038",191884.55
"864","03041",30
"865","03042",22230.72
"866","03043",2353.25
"867","03044",12408.32
"868","03045",45909.78
"869","03046",4707.78
"870","03047",3381.59
"871","03048",11383.27
"872","03049",14865.57
"873","03051",79828.62
"874","03052",15985.13
"875","03053",73810.53
"876","03054",65708.86
"877","03055",74962.07
"878","03057",6285.33
"879","03060",479154.13
"880","03061",60
"881","03062",82658.54
"882","03063",68413.87
"883","03064",129586.64
"884","03070",11283.5
"885","03071",12927.27
"886","03076",26386.67
"887","03077",59657.23
"888","03079",89756.84
"889","03082",1769.99
"890","03084",5313.59
"891","03086",13952.98
"892","03087",12601.8
"893","03101",83358.02
"894","03102",397615.99
"895","03103",577144.56
"896","03104",317670.28
"897","03105",330
"898","03106",56987
"899","03108",709.99
"900","03109",50346.75
"901","03110",38974.18
"902","03215",1974.93
"903","03216",6916.24
"904","03217",46438.49
"905","03218",2153.41
"906","03220",53893.3
"907","03221",3011.55
"908","03222",35788.17
"909","03223",15898.98
"910","03224",6354.37
"911","03225",9617.97
"912","03226",3207.26
"913","03227",1491.73
"914","03229",12327.91
"915","03230",4381.98
"916","03234",21850.76
"917","03235",106716.87
"918","03237",11739.51
"919","03240",6583.22
"920","03241",4284.86
"921","03242",15633.69
"922","03243",6782.74
"923","03244",40656.63
"924","03245",16926.09
"925","03246",217256.36
"926","03247",219.99
"927","03249",31040.27
"928","03251",18466.86
"929","03252",60
"930","03253",39114.48
"931","03254",27633.88
"932","03255",2415.64
"933","03256",10537.87
"934","03257",5542.06
"935","03258",6189.24
"936","03259",385.16
"937","03260",1009.98
"938","03261",14564.3
"939","03262",19803.36
"940","03263",34967.07
"941","03264",100327.32
"942","03266",30011.42
"943","03268",1942.88
"944","03269",7944.46
"945","03273",172
"946","03275",93207.77
"947","03276",75530.03
"948","03278",5597.68
"949","03279",11030.27
"950","03280",2649.98
"951","03281",27829.24
"952","03282",7383.78
"953","03284",720.51
"954","03285",8221.78
"955","03287",3242.84
"956","03289",0
"957","03290",9196.7
"958","03301",268224.67
"959","03302",573
"960","03303",108422.92
"961","03304",13794.22
"962","03307",21215.28
"963","03431",495929.16
"964","03440",13373.92
"965","03441",3925.27
"966","03442",10617.23
"967","03443",1226.87
"968","03444",2632.86
"969","03445",1090
"970","03446",90730.53
